transaction_amount,transaction_time,location,device_type,transaction_type,transaction_frequency,past_fraud,fraudulent
11.86,16,1,1,4,37,0,0
11.9,18,1,1,4,8,0,0
9.35,6,1,3,2,10,0,0
48.24,23,2,2,1,38,0,0
9.88,10,3,2,3,15,0,0
38.27,15,1,3,0,8,0,0
13.7,23,7,2,3,30,0,0
2.78,18,5,0,2,36,0,0
11.36,4,1,1,3,30,0,1
6.18,0,2,3,0,31,0,1
20.78,23,4,0,0,41,0,1
6.11,9,4,0,0,5,0,0
50.7,17,3,2,2,19,0,0
18.34,9,6,2,3,49,0,1
16.82,0,3,1,2,34,0,0
38.7,12,6,1,0,13,0,0
52.66,3,7,3,3,49,1,0
19.69,11,6,1,4,25,0,0
9.29,23,1,0,2,14,0,0
3.41,15,0,1,4,11,0,0
10.11,18,5,0,4,30,0,0
10.84,11,5,0,1,7,1,1
22.36,5,0,3,0,2,0,1
14.22,15,1,2,4,35,0,0
39.96,11,2,1,2,43,0,1
10.88,23,6,3,0,3,0,0
18.97,9,0,1,0,33,0,0
65.63,4,5,0,2,46,0,0
28.27,18,4,1,3,32,0,0
18.92,11,3,2,2,17,0,0
11.0,7,2,1,3,28,0,0
10.66,3,1,1,0,21,0,0
8.58,6,2,0,2,19,0,0
11.69,23,7,1,4,33,0,0
42.76,22,7,2,2,11,0,0
16.09,4,5,1,4,33,0,0
5.21,10,4,0,4,23,0,0
117.7,16,0,3,0,7,0,0
27.66,23,7,0,3,8,0,0
4.92,20,7,0,3,30,0,0
12.91,2,7,0,4,7,0,1
22.44,1,1,3,3,47,0,0
110.45,18,5,2,2,48,0,0
6.63,1,6,0,4,22,0,1
53.31,13,7,0,4,27,0,0
81.41,0,7,2,1,40,0,0
10.71,15,7,2,2,42,0,0
15.22,14,2,1,3,36,1,0
7.13,17,0,2,3,45,0,1
16.39,1,6,3,1,36,0,0
19.36,10,3,0,2,19,0,0
38.85,20,6,0,0,27,0,0
59.75,16,2,3,0,6,0,0
9.51,12,3,1,2,16,0,0
2.81,11,4,0,3,24,0,1
19.66,23,5,0,0,24,0,0
26.94,1,0,1,0,30,0,1
25.78,21,4,1,3,39,0,0
14.49,20,4,1,2,45,0,0
22.75,17,3,3,1,35,0,0
91.42,9,2,3,2,49,0,0
29.42,11,7,2,1,35,0,0
13.83,16,1,1,2,20,0,0
12.18,21,3,3,0,36,0,0
16.95,13,5,3,4,11,0,0
103.21,21,3,2,4,19,0,0
16.72,18,0,3,3,40,0,0
19.69,12,6,0,2,45,0,0
12.4,23,1,3,2,25,0,0
60.28,2,2,1,3,22,0,0
142.57,7,1,2,3,1,0,0
31.52,4,6,1,1,20,0,1
21.82,21,7,1,1,49,0,0
20.84,11,4,2,4,35,0,0
1.85,0,1,0,0,23,0,0
42.32,20,7,2,2,24,0,0
22.97,15,7,0,4,39,1,0
30.83,11,6,0,4,23,0,0
9.86,22,0,1,0,38,0,0
13.67,16,4,1,4,47,0,0
13.32,8,3,1,4,7,0,0
55.79,12,2,1,0,39,0,0
13.75,22,6,2,4,44,0,0
161.2,3,7,3,2,9,0,1
30.9,3,6,2,3,29,1,0
5.61,14,3,3,0,41,0,0
17.66,9,6,2,3,43,0,0
10.47,22,2,1,2,42,0,0
2.24,5,5,3,4,10,0,1
99.43,2,1,2,4,15,0,0
40.57,14,0,2,4,48,0,1
34.23,5,0,0,3,8,0,0
23.7,10,6,2,1,45,0,0
5.04,1,1,1,3,41,0,1
12.38,1,0,2,1,46,0,1
46.61,0,1,2,3,22,0,1
7.02,10,0,1,2,20,0,0
1.6,4,5,3,3,18,0,1
16.0,5,4,3,3,34,0,0
17.43,2,6,1,0,23,0,1
23.0,19,7,3,4,28,0,0
41.62,4,2,0,4,41,0,0
38.0,19,6,2,4,10,0,0
26.02,8,1,2,1,43,0,1
66.39,18,3,3,2,23,0,0
4.4,4,5,3,1,10,0,0
33.27,22,2,3,0,1,0,0
37.58,11,2,1,0,29,1,0
5.81,11,1,0,3,46,0,0
4.47,15,2,0,0,41,0,1
9.53,6,1,3,0,5,0,0
10.37,13,4,1,2,44,0,0
42.67,21,2,3,0,29,0,0
10.86,8,2,1,3,49,0,0
8.53,14,4,1,4,20,1,0
10.9,22,0,2,1,8,0,0
61.48,10,0,3,1,25,0,0
20.35,3,1,2,1,1,0,0
16.79,10,5,2,3,36,0,0
17.99,8,2,0,2,44,0,0
73.12,5,6,1,3,16,0,1
9.5,16,4,1,1,5,0,0
74.85,8,3,1,3,13,0,0
24.79,22,4,1,3,1,0,0
17.11,5,0,2,3,8,0,1
244.91,5,4,1,4,1,0,0
6.99,3,7,0,3,20,0,0
14.1,19,4,0,2,39,0,0
5.86,10,1,2,4,25,0,0
52.06,2,2,2,3,29,0,0
108.76,23,0,3,0,3,0,0
106.69,23,5,3,1,29,0,1
68.3,17,0,1,4,18,0,0
16.48,15,4,2,0,18,0,0
13.94,20,6,2,1,24,0,0
3.78,15,4,0,2,6,0,0
153.83,11,1,0,0,28,0,0
32.1,13,6,0,2,14,0,0
12.28,8,0,2,2,26,0,0
75.8,6,3,3,0,7,0,0
7.59,13,5,2,0,11,0,0
30.16,19,1,2,4,21,0,0
16.9,19,1,2,2,5,0,0
38.04,9,2,3,0,31,0,0
18.85,10,6,0,2,45,0,1
4.71,6,1,1,3,45,0,0
21.66,18,6,1,3,27,0,0
57.33,18,3,1,3,33,0,0
19.51,20,2,3,2,34,0,0
43.6,10,7,3,2,36,0,0
7.06,5,4,1,0,46,0,0
19.56,7,4,1,0,5,0,0
10.76,0,3,3,4,26,0,0
42.39,22,4,1,4,48,0,0
20.73,7,2,2,4,35,0,0
40.05,4,2,0,1,20,0,0
59.6,9,6,3,3,14,0,0
40.11,1,7,0,2,5,0,0
26.39,3,7,1,3,12,1,0
7.4,21,0,1,2,13,0,0
20.03,1,2,3,1,48,0,0
11.79,14,3,3,2,27,0,0
14.24,19,0,2,4,27,0,0
13.81,9,3,3,3,16,1,1
7.54,20,7,0,3,4,0,0
2.84,23,0,3,3,13,0,0
10.3,23,3,2,1,18,1,0
24.37,1,4,0,3,45,0,0
5.22,5,6,1,0,12,0,0
20.4,21,6,3,4,19,0,0
134.33,13,5,1,4,17,0,0
55.87,4,7,2,2,42,0,1
103.91,23,4,3,1,7,0,0
29.7,1,7,2,2,21,0,0
64.55,13,1,1,2,46,0,0
9.74,12,5,0,4,39,0,0
10.55,1,4,2,0,1,0,0
1.3,22,5,3,1,14,0,0
65.77,8,2,3,1,3,0,0
93.72,2,7,1,1,32,0,0
11.55,14,2,1,0,9,0,0
15.58,22,5,1,1,11,0,0
9.45,2,1,1,3,23,0,1
29.45,11,5,3,0,30,0,0
61.86,5,6,3,2,47,0,0
3.52,18,3,3,3,5,0,0
30.25,16,5,2,2,30,0,0
15.23,5,2,0,1,26,0,1
22.5,18,1,0,0,4,0,0
31.78,16,2,0,3,27,0,0
16.64,15,7,2,0,29,0,0
18.11,20,6,1,0,45,0,1
16.22,7,7,1,0,38,0,0
53.0,23,0,1,2,7,0,0
30.53,23,2,3,0,16,0,0
25.04,18,7,2,1,8,0,0
5.64,7,0,0,3,25,0,0
13.76,19,2,1,4,24,0,0
49.34,14,1,0,0,41,0,0
20.86,7,7,1,3,41,0,0
38.84,2,0,0,2,21,0,1
117.51,15,1,3,2,43,0,1
56.75,2,2,2,0,16,0,0
22.05,0,2,1,0,41,0,0
12.05,7,5,1,1,47,0,1
1.56,23,6,1,4,11,0,0
16.97,8,0,1,0,8,0,0
14.5,21,5,2,0,35,0,0
29.68,11,1,2,1,46,0,0
17.22,17,5,1,2,6,0,0
14.58,16,5,0,4,37,0,0
3.39,7,4,3,2,11,0,0
7.85,19,0,1,0,28,0,0
32.35,10,2,3,4,42,0,0
111.71,6,2,0,0,11,0,0
18.22,13,0,1,1,6,0,0
27.88,9,6,1,1,40,0,0
52.06,14,4,3,2,30,0,0
8.93,11,4,1,3,14,0,0
28.99,19,3,0,2,13,0,0
9.58,16,3,2,4,35,0,0
47.69,7,0,3,1,6,0,0
23.37,13,4,2,2,49,0,1
27.07,14,0,3,1,33,0,0
9.18,10,5,2,3,11,0,0
40.73,11,4,0,2,1,0,0
161.53,19,6,0,1,27,0,0
7.33,15,6,1,0,30,0,0
14.3,19,1,0,3,46,0,0
25.32,17,2,0,0,26,0,0
44.1,9,7,1,4,28,0,0
11.48,18,0,3,3,41,0,0
1.18,17,7,0,1,32,0,0
78.19,0,0,0,0,10,0,0
42.97,21,0,2,4,12,0,0
3.52,3,0,0,0,36,0,0
10.94,22,1,1,3,43,0,0
96.37,6,3,0,0,22,0,0
85.44,0,6,2,0,16,0,0
51.35,7,7,0,2,18,0,0
16.84,16,3,2,1,7,0,0
21.82,7,2,0,0,36,0,1
17.62,4,2,3,2,2,0,0
62.07,0,0,1,1,9,0,1
8.37,14,4,0,3,44,0,0
8.97,3,7,3,3,30,0,0
55.16,6,2,3,2,28,0,0
19.21,13,3,1,2,29,0,0
79.72,11,4,2,3,19,0,0
10.26,20,7,3,4,28,0,0
19.01,2,6,1,1,41,0,0
7.99,19,7,0,1,25,0,0
20.23,17,1,2,2,29,0,0
4.58,7,6,2,1,23,0,0
12.33,1,6,2,4,10,0,1
4.78,5,5,3,1,41,0,0
40.2,6,6,3,2,5,0,0
41.12,6,1,1,0,33,0,0
3.56,12,5,2,0,48,0,1
76.24,0,6,2,2,41,0,1
244.06,7,5,1,0,5,0,0
21.03,22,7,0,1,4,1,0
10.58,12,6,2,2,37,0,0
338.43,23,2,2,2,4,0,0
5.37,19,2,1,2,25,0,0
20.49,23,6,1,0,32,0,0
24.04,18,7,3,3,14,0,0
77.1,16,5,0,0,27,0,0
28.78,12,1,3,2,26,0,0
12.2,15,2,3,1,8,0,0
7.76,23,5,1,3,30,0,0
14.27,14,4,3,2,13,0,0
7.34,10,1,0,0,32,0,0
21.07,11,5,2,4,43,1,1
11.42,21,6,3,2,29,0,0
4.51,2,2,3,1,23,0,0
70.47,23,2,3,4,28,0,0
12.21,8,2,0,4,14,0,0
5.65,13,6,0,0,10,0,0
16.97,6,1,0,0,7,0,0
21.51,10,4,1,3,49,0,0
3.5,9,1,2,2,26,0,0
27.98,2,0,1,3,36,0,0
7.05,18,0,2,3,27,1,1
111.17,1,7,3,4,28,0,0
33.92,16,2,0,0,46,0,0
13.47,1,0,0,4,30,0,0
9.53,20,7,0,2,44,0,0
18.08,15,1,3,3,43,0,1
37.07,16,0,2,3,24,0,0
19.58,9,0,1,2,1,0,0
16.16,3,2,1,3,41,0,1
21.29,10,1,3,0,27,0,0
10.98,16,7,2,0,1,0,0
14.25,23,2,0,3,10,0,0
2.49,11,1,2,2,43,0,0
53.18,20,5,2,4,5,0,0
27.08,9,2,0,3,9,0,0
9.27,15,0,2,1,3,0,0
134.12,3,7,3,0,29,0,1
21.91,2,7,1,1,2,0,0
7.13,8,7,3,1,18,0,0
47.31,5,0,2,1,14,0,1
29.91,11,2,0,3,29,0,0
29.8,0,0,1,3,5,0,0
13.12,13,4,3,1,46,0,1
31.52,23,3,2,3,5,0,0
15.46,9,2,0,1,2,0,0
35.02,17,1,3,1,39,0,0
2.99,12,7,2,4,23,0,0
13.02,8,5,0,4,31,0,0
112.41,22,5,3,4,16,0,0
9.33,18,1,0,2,22,0,0
10.98,3,6,3,0,27,0,1
12.83,2,7,3,3,29,0,1
5.96,5,0,2,4,5,0,1
2.21,8,2,1,0,12,0,0
15.95,9,7,1,0,13,0,0
23.01,8,5,0,3,8,0,0
19.06,16,4,0,2,46,0,0
17.38,9,4,0,1,24,0,0
20.97,5,1,0,4,28,0,0
55.86,15,5,0,2,37,0,0
16.6,16,7,2,3,27,0,0
11.31,10,7,0,2,36,0,0
15.16,19,7,1,0,9,1,0
35.85,6,7,1,2,15,0,0
82.44,3,5,3,4,46,0,0
10.72,9,7,3,2,5,0,1
22.17,20,1,2,2,28,0,0
28.17,13,3,2,0,15,0,0
7.44,16,5,0,2,36,0,0
20.5,13,5,3,0,18,0,0
4.64,19,6,2,4,22,0,0
3.42,22,3,2,4,5,1,1
28.98,12,4,1,1,22,0,0
13.68,1,6,2,1,17,0,0
24.59,8,1,2,0,22,0,1
19.73,2,7,3,1,21,0,0
7.57,3,4,0,1,46,0,0
19.2,11,4,0,3,23,0,0
5.85,14,7,2,1,28,0,0
80.72,19,0,3,2,28,0,0
5.18,7,7,0,4,17,0,0
16.51,17,2,0,1,19,0,0
7.08,4,1,2,0,13,0,1
35.53,1,3,0,3,45,0,1
14.42,21,0,0,3,45,0,0
11.96,8,1,1,4,34,0,0
47.14,13,3,3,4,47,0,1
20.69,0,0,2,0,33,0,0
33.67,19,6,2,0,47,0,0
7.53,3,5,1,0,16,0,0
4.93,16,1,2,3,43,0,0
22.36,9,7,1,3,30,0,0
14.6,1,1,3,0,3,0,1
37.58,5,0,0,1,27,0,0
18.54,18,5,0,1,20,0,0
24.66,8,1,3,0,32,0,0
3.96,18,7,2,0,21,0,1
132.75,18,1,3,3,46,0,1
17.04,8,0,0,1,5,0,0
40.35,2,4,1,4,49,0,1
8.71,5,2,1,4,2,0,1
27.33,5,0,2,2,22,0,0
5.46,16,0,0,4,7,0,0
31.57,12,4,1,1,42,0,0
14.07,12,0,1,3,10,0,1
20.68,6,2,1,1,40,0,0
40.37,8,7,2,1,1,0,0
5.86,17,5,0,4,16,0,1
10.13,0,6,3,0,41,0,0
31.73,21,1,1,2,28,0,0
163.73,21,4,3,4,48,0,1
17.5,19,0,3,4,20,0,0
36.28,12,1,2,4,26,0,0
18.05,7,6,2,2,15,0,0
140.08,20,1,3,3,41,0,0
3.5,22,6,2,4,30,0,0
22.08,8,5,3,3,12,0,0
3.95,0,5,1,3,2,0,1
1.64,8,4,0,1,10,0,0
27.04,19,6,3,0,27,0,0
23.09,22,6,0,2,21,0,0
15.11,10,4,3,0,16,0,0
18.06,19,4,1,3,37,0,0
445.1,3,3,2,3,45,0,1
15.52,15,2,3,2,22,0,0
33.45,13,7,2,0,39,0,0
10.49,19,2,1,1,41,0,1
26.98,21,0,0,0,22,0,0
15.83,20,1,3,4,49,0,1
13.32,17,1,3,0,17,0,0
123.83,21,6,0,3,17,0,0
65.18,21,0,3,2,26,0,0
23.03,8,6,3,4,37,0,0
2.01,0,4,0,3,38,0,0
14.0,22,4,2,0,38,0,0
299.77,2,2,2,2,41,0,1
15.95,19,0,0,4,42,0,0
60.53,0,4,1,0,49,0,0
84.94,2,0,0,4,3,0,0
25.0,13,1,0,1,9,0,0
8.66,13,4,2,1,1,0,0
1.76,22,4,3,2,19,0,0
39.81,21,7,1,1,14,0,0
8.89,12,2,3,3,40,0,0
23.95,0,5,3,0,38,0,1
5.76,14,2,1,4,2,0,0
15.41,19,2,0,4,7,0,0
20.77,6,6,0,1,38,0,0
26.27,15,1,3,4,43,0,0
6.59,19,7,3,4,28,0,0
66.48,22,5,1,0,10,0,0
11.06,20,2,2,2,25,0,0
3.76,0,2,1,4,22,0,1
18.01,14,6,1,1,11,0,0
20.79,19,0,1,1,40,0,0
23.58,14,3,2,2,45,0,0
78.42,18,1,0,4,38,0,0
15.86,5,1,1,4,10,0,0
17.82,5,1,2,4,18,0,0
6.66,0,2,3,2,47,0,0
45.63,15,4,1,1,5,0,0
24.15,17,2,3,4,11,0,0
13.2,12,2,3,4,27,0,0
2.99,11,4,2,3,27,0,0
85.15,17,0,3,0,36,0,0
5.88,9,3,3,2,13,0,0
11.12,13,2,1,0,47,0,0
28.74,19,4,3,2,28,0,0
6.07,10,1,1,0,2,0,0
4.51,17,0,3,3,7,0,0
2.4,23,4,0,0,32,0,0
41.31,11,4,0,4,6,0,0
11.64,16,4,2,0,19,0,0
375.13,23,1,3,0,15,0,0
7.43,2,6,2,1,23,0,1
7.99,20,3,1,2,24,0,0
11.41,0,5,1,0,46,0,0
25.61,0,2,3,4,48,0,1
12.55,5,7,3,4,28,0,1
37.05,18,5,0,2,24,0,0
7.55,23,2,1,3,22,0,0
5.05,3,3,1,2,42,0,1
3.33,21,3,1,4,6,1,1
2.17,12,4,2,3,47,0,1
11.96,11,1,3,3,4,0,0
14.87,7,3,1,1,34,0,0
10.68,19,0,1,0,39,0,0
69.64,23,0,3,1,27,1,1
68.58,6,7,3,0,43,0,0
14.37,20,5,2,1,22,1,0
3.34,6,4,0,3,47,0,0
11.4,6,5,1,0,16,0,0
11.03,13,3,0,4,32,0,0
10.41,17,4,3,3,5,0,0
10.0,22,5,0,2,41,0,1
10.45,18,0,2,3,33,0,0
13.65,23,2,0,4,45,0,0
10.64,23,6,1,1,35,0,0
24.74,19,7,2,0,5,1,1
28.8,18,0,3,1,23,0,0
8.08,17,1,2,1,46,0,0
71.6,5,6,1,0,37,0,1
7.54,15,5,3,1,32,0,0
3.98,2,1,0,4,14,0,1
29.39,20,7,1,2,33,0,0
8.87,1,6,2,0,43,0,0
27.7,14,6,2,1,5,0,0
1.82,19,5,2,0,35,0,1
80.84,10,1,3,1,42,0,1
39.34,18,4,2,4,41,0,1
4.48,17,0,3,3,47,0,1
4.58,21,0,2,2,38,0,0
106.94,10,1,2,2,22,0,0
9.61,2,6,3,0,6,0,0
8.72,3,1,3,2,40,0,0
2.08,5,7,3,1,34,0,0
14.14,11,0,1,4,4,0,0
16.0,20,1,0,4,2,0,0
41.08,3,2,2,0,9,0,0
4.96,11,5,1,1,30,0,0
4.39,3,0,0,2,37,0,1
31.53,1,5,2,1,19,0,1
54.97,11,2,2,2,9,0,0
4.17,12,7,2,1,5,1,1
59.24,15,7,0,2,16,0,0
20.85,3,6,2,2,26,0,0
59.85,7,3,1,4,7,0,0
18.72,4,0,2,3,2,0,0
1.61,13,6,1,3,14,0,0
17.25,14,2,3,0,31,0,0
57.98,10,1,0,3,22,1,0
8.22,9,2,1,0,33,0,0
13.63,9,5,2,4,40,0,0
16.84,23,1,1,0,49,0,1
1.11,5,6,1,3,31,0,0
106.84,15,1,3,2,19,0,0
8.15,20,5,0,0,6,0,0
33.31,3,2,3,3,46,0,1
18.42,8,7,0,3,40,1,0
70.64,9,6,3,2,43,0,0
30.15,4,3,0,1,46,0,0
15.88,9,7,2,3,10,0,0
8.22,15,4,1,4,49,0,0
44.61,10,3,1,2,12,0,0
3.09,5,2,3,1,26,0,0
38.32,6,6,2,2,4,0,0
6.69,11,7,2,0,49,0,0
70.27,12,7,2,3,5,0,0
23.6,16,6,3,3,30,0,0
38.25,8,1,0,2,24,0,0
21.8,7,7,2,0,46,0,1
3.48,15,0,2,2,39,0,0
8.49,20,2,0,4,35,0,0
39.35,2,1,0,3,5,0,0
23.73,4,2,2,3,5,0,1
65.43,20,5,3,4,8,0,0
30.06,22,2,3,1,35,0,0
7.64,12,1,1,3,1,0,0
9.06,17,6,1,2,2,0,0
22.26,20,4,1,1,7,0,0
1.99,15,2,3,1,15,0,0
107.07,13,7,1,2,14,0,0
31.24,10,4,2,4,13,0,0
68.51,17,6,3,1,44,0,1
4.13,7,5,3,3,29,0,0
69.73,11,3,1,0,2,0,0
187.07,18,4,2,1,7,0,0
5.36,19,3,2,4,10,0,0
43.44,1,1,3,2,20,0,0
20.11,8,2,3,3,25,0,0
4.29,21,5,1,0,26,0,0
32.88,8,5,2,1,42,0,1
46.23,13,6,3,4,6,0,0
11.01,14,0,0,0,4,0,0
64.45,10,7,2,0,8,0,0
3.79,12,1,0,3,13,0,0
4.51,23,5,3,3,37,0,0
23.03,4,2,1,1,8,0,1
20.6,5,5,3,1,40,0,0
9.81,22,3,3,0,29,0,0
45.13,4,1,0,4,27,0,0
34.15,0,6,3,0,9,0,1
47.38,17,7,1,4,14,0,0
17.76,22,2,0,3,11,0,0
36.69,23,3,0,4,25,0,0
12.86,7,5,1,4,23,0,0
156.62,16,1,0,3,10,0,1
8.91,22,1,1,2,7,0,0
164.89,10,2,0,0,13,0,0
20.8,10,6,3,1,22,0,0
5.08,2,3,3,4,41,0,0
78.89,7,0,2,1,40,0,0
22.78,7,6,0,1,49,0,0
47.05,23,7,1,0,46,1,0
68.3,20,7,1,2,18,0,0
28.16,20,2,0,2,9,0,0
11.11,2,2,3,2,22,0,0
53.29,21,3,1,2,47,0,0
20.1,9,1,2,3,48,0,1
39.88,18,4,1,1,9,0,0
2.33,13,1,1,1,42,0,1
31.41,17,3,1,3,14,0,0
10.61,22,6,2,0,12,0,0
104.93,2,7,2,4,40,0,0
37.45,19,3,1,2,17,0,0
25.53,13,0,2,2,17,0,0
32.67,10,4,3,3,24,0,0
7.4,9,1,1,2,13,0,0
101.83,23,4,2,3,49,0,1
147.14,13,6,2,4,36,0,0
29.75,0,5,2,1,18,0,1
98.53,15,6,3,2,30,0,0
11.37,5,7,2,0,42,0,1
9.05,17,4,0,3,42,0,0
20.92,15,1,0,4,37,0,0
31.03,18,2,3,0,1,1,0
13.54,15,6,3,1,14,0,0
34.39,4,7,2,0,10,0,0
27.29,11,4,3,3,5,0,0
7.4,5,4,2,2,22,0,1
33.74,1,6,2,1,41,0,0
47.63,15,4,2,3,29,0,0
23.84,20,2,0,4,49,0,1
63.6,22,1,0,0,32,0,0
5.95,10,5,1,0,31,0,0
32.07,11,5,3,1,37,0,0
6.23,10,7,0,1,33,0,0
6.59,22,3,3,4,30,0,0
10.69,19,5,2,4,39,0,0
7.83,18,5,3,1,33,0,0
11.61,7,6,2,3,10,0,0
16.21,17,3,3,3,35,0,0
46.39,4,5,0,1,49,0,0
14.57,11,6,3,0,28,0,0
4.11,9,3,2,2,42,0,1
62.81,14,6,0,4,9,0,0
8.7,4,4,2,3,41,0,1
18.94,16,2,2,2,11,0,0
31.39,22,1,0,0,45,0,1
24.52,3,1,3,4,27,1,1
59.99,11,1,1,3,32,0,1
32.43,17,5,1,3,41,0,0
8.49,7,1,3,0,21,0,0
177.43,19,1,3,0,12,0,1
24.39,16,4,0,3,7,0,0
17.33,7,3,2,3,22,0,0
52.66,12,7,0,2,32,0,0
25.78,22,3,0,0,3,0,0
29.94,2,0,2,0,12,0,0
242.79,2,3,2,2,13,0,0
15.25,6,5,3,0,22,0,0
14.62,17,7,2,1,42,0,0
22.57,20,0,2,4,38,0,0
58.65,6,0,3,1,28,0,0
4.45,21,1,0,0,5,0,0
2.81,22,5,1,2,30,0,0
11.17,1,7,2,3,32,0,0
3.92,6,7,0,0,45,0,0
13.13,1,5,0,3,20,0,0
33.2,6,4,1,4,20,0,0
8.24,13,5,2,1,41,0,0
4.82,14,5,0,4,9,0,0
21.53,15,5,0,3,7,0,0
47.59,23,5,2,4,7,0,0
3.69,7,4,2,3,26,0,0
45.61,15,0,0,1,33,0,0
45.48,20,1,3,3,31,0,0
52.15,6,3,3,1,44,1,1
67.93,10,0,0,0,14,0,0
181.64,23,6,2,3,47,0,0
14.07,3,7,2,4,35,0,0
22.41,17,6,3,2,30,0,0
13.24,22,4,3,4,35,0,0
20.13,12,6,1,2,19,0,0
93.03,16,7,3,4,9,0,0
5.23,11,2,2,3,18,0,0
8.49,17,3,3,0,1,0,0
79.61,9,1,0,3,17,0,0
55.7,6,5,1,1,22,0,0
13.97,11,6,1,0,12,0,0
47.2,11,7,2,3,18,0,0
28.25,12,3,0,0,2,0,0
90.04,0,1,3,1,24,0,0
21.64,6,6,1,2,39,0,0
56.02,15,3,1,0,4,0,0
282.03,15,7,0,0,23,0,0
36.53,20,0,1,1,4,0,0
21.1,15,4,0,3,21,0,0
41.37,15,1,2,2,27,0,0
13.94,13,7,1,0,11,0,0
218.76,10,0,3,0,24,0,1
24.05,18,4,0,0,27,0,0
15.29,10,3,2,0,36,0,0
8.71,1,5,3,1,27,0,1
60.17,6,3,0,0,28,0,0
47.81,8,3,3,2,47,0,0
12.21,8,4,1,1,34,0,0
35.75,13,2,2,0,2,0,0
4.44,9,5,0,2,41,0,1
24.17,15,0,0,4,26,1,0
31.59,23,3,2,4,45,0,0
110.76,17,4,3,2,15,0,0
9.29,0,5,2,0,24,0,0
5.59,23,3,2,0,19,0,0
8.2,1,7,2,1,7,0,0
5.28,19,5,2,0,17,0,0
76.45,3,1,1,1,48,0,1
94.5,1,7,0,0,4,0,0
27.67,3,4,3,3,36,0,1
68.12,22,6,3,3,40,0,0
22.96,5,2,2,2,30,0,0
18.26,21,6,2,3,43,0,0
14.4,3,3,3,4,41,0,0
14.73,17,3,3,4,14,0,0
4.27,4,1,1,1,42,0,0
26.16,10,3,2,4,48,0,0
19.29,12,0,3,0,46,0,0
42.32,2,5,0,1,20,0,1
22.05,18,4,1,3,29,0,0
17.07,19,0,1,3,42,0,0
8.4,10,6,2,4,26,0,0
21.59,10,7,1,4,19,0,0
42.02,20,3,1,0,8,0,0
6.4,1,1,0,3,38,0,0
21.92,21,4,1,4,20,0,0
25.36,14,2,0,3,1,0,0
9.8,21,0,1,3,16,0,0
11.16,7,6,1,4,1,0,0
25.3,1,1,2,3,35,0,0
6.47,7,1,2,4,8,0,0
28.5,23,4,2,2,8,0,0
8.2,19,6,2,4,2,0,0
58.14,22,1,3,3,28,1,1
208.06,14,4,2,2,31,0,0
8.49,15,7,2,3,44,0,1
34.27,12,7,2,3,16,0,0
9.71,22,4,1,2,11,0,0
56.88,16,2,1,0,49,0,1
5.67,13,4,1,2,14,0,0
32.48,13,4,2,3,37,0,0
8.39,0,2,0,3,33,0,0
16.33,23,3,3,0,8,0,0
7.16,0,5,0,2,41,0,0
45.71,2,3,0,4,34,0,1
8.7,21,5,0,3,13,0,1
34.88,23,6,0,2,43,0,0
14.24,14,1,3,1,16,0,0
17.91,4,3,0,3,36,0,0
23.28,4,1,2,4,39,0,1
9.38,3,3,0,3,21,0,0
24.79,13,3,3,2,17,0,0
92.79,19,2,3,0,39,0,0
9.22,6,4,0,1,34,0,0
64.83,21,5,2,4,18,0,0
89.85,23,6,0,3,41,0,1
8.88,14,7,1,4,41,0,0
4.69,10,1,3,0,43,0,1
27.17,13,3,0,1,36,1,0
11.62,5,4,1,4,36,0,0
130.14,9,1,2,2,5,0,0
20.8,6,2,1,2,28,0,0
9.01,9,7,3,4,49,0,1
6.38,13,6,1,1,5,0,0
59.73,4,5,1,3,4,0,1
11.35,21,5,1,2,3,0,0
20.99,0,3,2,3,33,1,0
52.24,18,7,2,3,3,0,0
12.38,7,6,2,4,8,0,0
19.18,18,5,2,2,23,1,0
19.76,16,6,0,4,6,0,0
39.78,18,1,1,0,27,0,0
36.26,15,2,3,3,22,0,0
16.12,3,6,1,1,34,0,0
21.41,7,6,0,3,1,0,0
13.85,3,7,1,1,36,0,0
4.58,12,4,1,4,27,0,0
25.99,6,4,3,2,9,0,0
133.25,0,5,3,3,44,0,0
8.3,8,0,3,0,25,0,0
9.27,3,3,1,3,14,0,0
8.41,13,7,0,1,18,0,0
41.45,8,3,2,1,49,0,1
31.45,2,0,2,1,18,0,0
17.14,14,0,1,2,49,0,0
8.02,4,7,2,0,27,1,1
22.03,0,0,2,0,9,0,1
4.2,10,1,1,1,12,0,0
23.18,18,4,1,0,47,0,1
48.02,4,5,0,0,18,0,1
5.75,21,5,2,4,49,0,0
4.34,23,2,1,0,14,0,0
97.46,16,3,2,1,10,0,0
10.89,18,5,3,2,20,0,0
62.55,16,0,3,4,22,0,0
17.22,4,1,0,0,34,0,0
17.08,23,7,1,4,48,0,1
31.14,19,2,2,3,38,0,0
8.3,8,4,3,4,5,0,0
22.93,21,3,1,4,30,0,0
13.72,5,4,3,4,1,0,1
5.36,20,3,3,0,26,0,0
28.15,12,4,1,4,7,0,0
15.44,20,3,3,2,7,0,0
17.17,10,2,1,0,45,0,0
5.99,22,7,0,1,5,0,0
98.63,23,7,1,3,20,0,0
48.27,22,1,3,1,28,0,0
52.68,0,7,3,0,23,0,0
14.8,16,1,2,1,8,0,0
3.56,5,4,0,3,47,0,1
141.59,2,5,3,4,16,0,1
18.9,15,5,0,1,41,0,0
